Pre_R_Mean,Pre_G_Mean,Pre_B_Mean,Pre_R_Std,Pre_G_Std,Pre_B_Std,Pre_GND_Mean,Pre_GND_Std,Pre_GND_Q25,Pre_GND_Q50,Pre_GND_Q75,Pre_GND_Q90,Pre_GND_Q95,Pre_GND_Q99,Pre_GND_IQR,Pre_GND_Peak,Pre_GND_Skewness,Pre_GND_Kurtosis,Pre_GND_CV,Pre_GND_HighRatio,Pre_GND_LowRatio,Process_Temp,Process_Time,Process_H2,Process_Ar,Target_103,Target_102,Target_301,Target_114,Target_115,Target_105,Target_124,Target_125,Target_214,TARGET_Yield,Sample_ID,Target_Scheme
236.0570652173913,37.775815217391305,42.983695652173914,58.86636085074995,53.088425907356786,76.19862876931299,0.03467404580152672,0.016028004115103297,0.0277,0.0389,0.0469,0.0518,0.053385,0.0556,0.0192,0.0018,-0.9186428817014274,-0.23118579108205717,0.46224787862504274,0.0,0.0,1380,6.0,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152173913043478,8,1
236.0570652173913,37.775815217391305,42.983695652173914,58.86636085074995,53.088425907356786,76.19862876931299,0.03467404580152672,0.016028004115103297,0.0277,0.0389,0.0469,0.0518,0.053385,0.0556,0.0192,0.0018,-0.9186428817014274,-0.23118579108205717,0.46224787862504274,0.0,0.0,1380,6.0,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.47554347826086957,8,2
236.0570652173913,37.775815217391305,42.983695652173914,58.86636085074995,53.088425907356786,76.19862876931299,0.03467404580152672,0.016028004115103297,0.0277,0.0389,0.0469,0.0518,0.053385,0.0556,0.0192,0.0018,-0.9186428817014274,-0.23118579108205717,0.46224787862504274,0.0,0.0,1380,6.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.84375,8,3
236.0570652173913,37.775815217391305,42.983695652173914,58.86636085074995,53.088425907356786,76.19862876931299,0.03467404580152672,0.016028004115103297,0.0277,0.0389,0.0469,0.0518,0.053385,0.0556,0.0192,0.0018,-0.9186428817014274,-0.23118579108205717,0.46224787862504274,0.0,0.0,1380,6.0,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04076086956521739,8,4
237.64809782608697,33.93342391304348,35.266304347826086,58.51462817674335,47.26549327057965,64.85451855764548,0.03520745341614907,0.013922474529638297,0.0276,0.0377,0.045450000000000004,0.05178,0.0548,0.056036,0.017850000000000005,0.041,-0.7682235586400494,0.0766291421293337,0.3954411120019345,0.0,0.002070393374741201,1380,6.0,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1644021739130435,9,1
237.64809782608697,33.93342391304348,35.266304347826086,58.51462817674335,47.26549327057965,64.85451855764548,0.03520745341614907,0.013922474529638297,0.0276,0.0377,0.045450000000000004,0.05178,0.0548,0.056036,0.017850000000000005,0.041,-0.7682235586400494,0.0766291421293337,0.3954411120019345,0.0,0.002070393374741201,1380,6.0,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15625,9,2
237.64809782608697,33.93342391304348,35.266304347826086,58.51462817674335,47.26549327057965,64.85451855764548,0.03520745341614907,0.013922474529638297,0.0276,0.0377,0.045450000000000004,0.05178,0.0548,0.056036,0.017850000000000005,0.041,-0.7682235586400494,0.0766291421293337,0.3954411120019345,0.0,0.002070393374741201,1380,6.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9605978260869565,9,3
237.64809782608697,33.93342391304348,35.266304347826086,58.51462817674335,47.26549327057965,64.85451855764548,0.03520745341614907,0.013922474529638297,0.0276,0.0377,0.045450000000000004,0.05178,0.0548,0.056036,0.017850000000000005,0.041,-0.7682235586400494,0.0766291421293337,0.3954411120019345,0.0,0.002070393374741201,1380,6.0,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1644021739130435,9,4
234.67934782608697,44.11548913043478,41.19701086956522,63.19539213038294,56.96733977093149,66.76355306800131,0.03154510166358595,0.016119358014937177,0.0228,0.0362,0.0434,0.0491,0.0527,0.05486,0.0206,0.0032,-0.6467207456901999,-0.8238467857339327,0.5109940106341309,0.0,0.0,1380,6.0,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25271739130434784,10,1
234.67934782608697,44.11548913043478,41.19701086956522,63.19539213038294,56.96733977093149,66.76355306800131,0.03154510166358595,0.016119358014937177,0.0228,0.0362,0.0434,0.0491,0.0527,0.05486,0.0206,0.0032,-0.6467207456901999,-0.8238467857339327,0.5109940106341309,0.0,0.0,1380,6.0,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9918478260869565,10,2
234.67934782608697,44.11548913043478,41.19701086956522,63.19539213038294,56.96733977093149,66.76355306800131,0.03154510166358595,0.016119358014937177,0.0228,0.0362,0.0434,0.0491,0.0527,0.05486,0.0206,0.0032,-0.6467207456901999,-0.8238467857339327,0.5109940106341309,0.0,0.0,1380,6.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.036684782608695655,10,3
234.67934782608697,44.11548913043478,41.19701086956522,63.19539213038294,56.96733977093149,66.76355306800131,0.03154510166358595,0.016119358014937177,0.0228,0.0362,0.0434,0.0491,0.0527,0.05486,0.0206,0.0032,-0.6467207456901999,-0.8238467857339327,0.5109940106341309,0.0,0.0,1380,6.0,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25271739130434784,10,4
